September 01, 2022
Temp: 57.6°F	 Weather: Clear	 Humidity: 83	 Visibility: 6.0
Temp: 56.6°F	 Weather: Clear	 Humidity: 85	 Visibility: 6.0
Temp: 55.6°F	 Weather: Clear	 Humidity: 87	 Visibility: 6.0
Temp: 56.2°F	 Weather: Clear	 Humidity: 88	 Visibility: 6.0
Temp: 56.8°F	 Weather: Clear	 Humidity: 89	 Visibility: 6.0
Temp: 57.4°F	 Weather: Clear	 Humidity: 90	 Visibility: 6.0
Temp: 61.2°F	 Weather: Sunny	 Humidity: 81	 Visibility: 6.0
Temp: 65.1°F	 Weather: Sunny	 Humidity: 72	 Visibility: 6.0
Temp: 68.9°F	 Weather: Sunny	 Humidity: 63	 Visibility: 6.0
Temp: 75.0°F	 Weather: Sunny	 Humidity: 55	 Visibility: 6.0
Temp: 81.1°F	 Weather: Sunny	 Humidity: 47	 Visibility: 6.0
Temp: 87.3°F	 Weather: Sunny	 Humidity: 39	 Visibility: 6.0
Temp: 89.2°F	 Weather: Sunny	 Humidity: 35	 Visibility: 6.0
Temp: 91.1°F	 Weather: Sunny	 Humidity: 32	 Visibility: 6.0
Temp: 93.0°F	 Weather: Sunny	 Humidity: 28	 Visibility: 6.0
Temp: 90.0°F	 Weather: Sunny	 Humidity: 30	 Visibility: 6.0
Temp: 86.9°F	 Weather: Sunny	 Humidity: 32	 Visibility: 6.0
Temp: 83.8°F	 Weather: Sunny	 Humidity: 33	 Visibility: 6.0
Temp: 77.5°F	 Weather: Sunny	 Humidity: 40	 Visibility: 6.0
Temp: 71.2°F	 Weather: Clear	 Humidity: 47	 Visibility: 6.0
Temp: 64.9°F	 Weather: Clear	 Humidity: 54	 Visibility: 6.0
Temp: 62.4°F	 Weather: Clear	 Humidity: 57	 Visibility: 6.0
Temp: 59.9°F	 Weather: Clear	 Humidity: 61	 Visibility: 6.0

September 02, 2022
Temp: 56.4°F	 Weather: Clear	 Humidity: 66	 Visibility: 6.0
Temp: 55.3°F	 Weather: Clear	 Humidity: 67	 Visibility: 6.0
Temp: 54.3°F	 Weather: Clear	 Humidity: 68	 Visibility: 6.0
Temp: 54.8°F	 Weather: Clear	 Humidity: 68	 Visibility: 6.0
Temp: 55.3°F	 Weather: Clear	 Humidity: 67	 Visibility: 6.0
Temp: 55.8°F	 Weather: Clear	 Humidity: 67	 Visibility: 6.0
Temp: 60.1°F	 Weather: Sunny	 Humidity: 61	 Visibility: 6.0
Temp: 64.4°F	 Weather: Sunny	 Humidity: 54	 Visibility: 6.0
Temp: 68.7°F	 Weather: Sunny	 Humidity: 48	 Visibility: 6.0
Temp: 74.1°F	 Weather: Sunny	 Humidity: 45	 Visibility: 6.0
Temp: 79.5°F	 Weather: Sunny	 Humidity: 41	 Visibility: 6.0
Temp: 84.9°F	 Weather: Sunny	 Humidity: 38	 Visibility: 6.0
Temp: 85.2°F	 Weather: Sunny	 Humidity: 35	 Visibility: 6.0
Temp: 85.5°F	 Weather: Sunny	 Humidity: 33	 Visibility: 6.0
Temp: 85.8°F	 Weather: Sunny	 Humidity: 30	 Visibility: 6.0
Temp: 81.3°F	 Weather: Sunny	 Humidity: 35	 Visibility: 6.0
Temp: 76.7°F	 Weather: Sunny	 Humidity: 39	 Visibility: 6.0
Temp: 72.1°F	 Weather: Sunny	 Humidity: 44	 Visibility: 6.0
Temp: 67.0°F	 Weather: Sunny	 Humidity: 60	 Visibility: 6.0
Temp: 61.8°F	 Weather: Clear	 Humidity: 75	 Visibility: 6.0
Temp: 56.7°F	 Weather: Clear	 Humidity: 91	 Visibility: 6.0
Temp: 56.2°F	 Weather: Clear	 Humidity: 86	 Visibility: 6.0
Temp: 55.8°F	 Weather: Partly cloudy	 Humidity: 81	 Visibility: 6.0

September 03, 2022
Temp: 54.7°F	 Weather: Partly cloudy	 Humidity: 78	 Visibility: 6.0
Temp: 54.1°F	 Weather: Clear	 Humidity: 81	 Visibility: 6.0
Temp: 53.4°F	 Weather: Clear	 Humidity: 83	 Visibility: 6.0
Temp: 54.3°F	 Weather: Clear	 Humidity: 83	 Visibility: 6.0
Temp: 55.1°F	 Weather: Partly cloudy	 Humidity: 83	 Visibility: 6.0
Temp: 55.9°F	 Weather: Partly cloudy	 Humidity: 83	 Visibility: 6.0
Temp: 58.5°F	 Weather: Partly cloudy	 Humidity: 79	 Visibility: 6.0
Temp: 61.1°F	 Weather: Partly cloudy	 Humidity: 74	 Visibility: 6.0
Temp: 63.7°F	 Weather: Partly cloudy	 Humidity: 69	 Visibility: 6.0
Temp: 67.2°F	 Weather: Partly cloudy	 Humidity: 61	 Visibility: 6.0
Temp: 70.6°F	 Weather: Sunny	 Humidity: 52	 Visibility: 6.0
Temp: 74.1°F	 Weather: Sunny	 Humidity: 44	 Visibility: 6.0
Temp: 77.1°F	 Weather: Sunny	 Humidity: 41	 Visibility: 6.0
Temp: 80.0°F	 Weather: Sunny	 Humidity: 38	 Visibility: 6.0
Temp: 82.9°F	 Weather: Sunny	 Humidity: 34	 Visibility: 6.0
Temp: 81.4°F	 Weather: Sunny	 Humidity: 36	 Visibility: 6.0
Temp: 79.8°F	 Weather: Sunny	 Humidity: 37	 Visibility: 6.0
Temp: 78.3°F	 Weather: Sunny	 Humidity: 39	 Visibility: 6.0
Temp: 72.4°F	 Weather: Sunny	 Humidity: 49	 Visibility: 6.0
Temp: 66.5°F	 Weather: Clear	 Humidity: 59	 Visibility: 6.0
Temp: 60.6°F	 Weather: Clear	 Humidity: 70	 Visibility: 6.0
Temp: 58.4°F	 Weather: Clear	 Humidity: 74	 Visibility: 6.0
Temp: 56.2°F	 Weather: Clear	 Humidity: 79	 Visibility: 6.0

September 04, 2022
Temp: 53.3°F	 Weather: Clear	 Humidity: 85	 Visibility: 6.0
Temp: 52.6°F	 Weather: Clear	 Humidity: 87	 Visibility: 6.0
Temp: 52.0°F	 Weather: Clear	 Humidity: 89	 Visibility: 6.0
Temp: 52.4°F	 Weather: Clear	 Humidity: 88	 Visibility: 6.0
Temp: 52.8°F	 Weather: Clear	 Humidity: 88	 Visibility: 6.0
Temp: 53.2°F	 Weather: Clear	 Humidity: 88	 Visibility: 6.0
Temp: 57.4°F	 Weather: Sunny	 Humidity: 78	 Visibility: 6.0
Temp: 61.6°F	 Weather: Sunny	 Humidity: 68	 Visibility: 6.0
Temp: 65.8°F	 Weather: Sunny	 Humidity: 59	 Visibility: 6.0
Temp: 70.0°F	 Weather: Sunny	 Humidity: 52	 Visibility: 6.0
Temp: 74.1°F	 Weather: Sunny	 Humidity: 45	 Visibility: 6.0
Temp: 78.3°F	 Weather: Sunny	 Humidity: 38	 Visibility: 6.0
Temp: 79.9°F	 Weather: Sunny	 Humidity: 37	 Visibility: 6.0
Temp: 81.6°F	 Weather: Sunny	 Humidity: 35	 Visibility: 6.0
Temp: 83.3°F	 Weather: Sunny	 Humidity: 33	 Visibility: 6.0
Temp: 80.6°F	 Weather: Sunny	 Humidity: 37	 Visibility: 6.0
Temp: 77.9°F	 Weather: Sunny	 Humidity: 40	 Visibility: 6.0
Temp: 75.2°F	 Weather: Sunny	 Humidity: 44	 Visibility: 6.0
Temp: 69.6°F	 Weather: Sunny	 Humidity: 60	 Visibility: 6.0
Temp: 64.0°F	 Weather: Clear	 Humidity: 75	 Visibility: 6.0
Temp: 58.5°F	 Weather: Clear	 Humidity: 91	 Visibility: 6.0
Temp: 58.2°F	 Weather: Clear	 Humidity: 93	 Visibility: 4.0
Temp: 57.9°F	 Weather: Mist	 Humidity: 95	 Visibility: 2.0

September 05, 2022
Temp: 57.6°F	 Weather: Mist	 Humidity: 97	 Visibility: 0.0
Temp: 57.7°F	 Weather: Fog	 Humidity: 97	 Visibility: 0.0
Temp: 57.7°F	 Weather: Fog	 Humidity: 98	 Visibility: 0.0
Temp: 57.7°F	 Weather: Fog	 Humidity: 96	 Visibility: 2.0
Temp: 57.6°F	 Weather: Partly cloudy	 Humidity: 95	 Visibility: 4.0
Temp: 57.6°F	 Weather: Partly cloudy	 Humidity: 93	 Visibility: 6.0
Temp: 58.3°F	 Weather: Partly cloudy	 Humidity: 90	 Visibility: 6.0
Temp: 59.1°F	 Weather: Partly cloudy	 Humidity: 87	 Visibility: 6.0
Temp: 59.9°F	 Weather: Partly cloudy	 Humidity: 85	 Visibility: 6.0
Temp: 63.6°F	 Weather: Partly cloudy	 Humidity: 74	 Visibility: 6.0
